,0
проект,511542
москва,477283
участок,421753
застройка,411928
зона,357739
земельный,342710
территория,314425
город,273752
объект,273471
строительство,271561
градостроительный,265580
слушание,229027
пзз,221266
публичный,211178
землепользование,205421
использование,202533
правило,200781
вид,194248
кодекс,149094
разрешить,144353
который,144247
территориальный,143273
дом,142300
метр,139229
житель,119726
закон,113280
район,107360
также,106006
требовать,103385
федеральный,102833
адрес,101183
план,98807
размещение,98643
указанный,97854
жилой,95887
комплекс,94143
природный,93639
соответствие,92726
плата,91956
гпзу,90553
капитальный,87728
дать,87193
граница,85907
согласно,85115
здание,84598
площадь,84388
число,84020
часть,82996
параметр,82156
округа,78871
далее,78339
наш,77451
предельный,73980
против,71927
законодательство,71438
год,71209
просить,69686
документ,68851
право,66837
данный,66789
являться,66202
административный,65910
кв,65585
шоссе,64936
нарушение,64538
должный,63629
культурный,63052
плотность,62407
назначение,61819
наследие,59666
федерация,59364
регламент,58119
генеральный,57452
установить,57393
замечание,56567
расположить,56525
российский,55212
изменение,54996
общий,54702
требование,54114
общественный,53868
проведение,52710
соответствующий,51344
место,51013
такой,50284
установленный,49611
книга,49515
кадастровый,49440
планировка,49063
гражданин,47647
западный,47510
участник,47374
представить,47362
государственный,47229
парковый,46688
орган,45230
предложение,45140
категорически,45083
квартал,44643
пункт,44642
тпу,44275
высота,43730
новое,43607
утвердить,43275
развитие,43117
существующий,41955
станция,41685
северо,41596
номер,41583
правительство,41536
ограниченный,41303
утверждение,40700
состав,40687
один,40305
митино,40158
охрана,39916
классификатор,39599
детский,39135
транспортный,39059
функциональный,38387
внести,38320
отклонить,37570
улица,37111
метро,37046
противоречить,36737
страница,36484
северный,36372
необходимый,36358
благоустройство,35447
жила,35106
устанавливаться,35090
следующий,34512
процент,34392
серп,34336
молотый,34332
отношение,33808
энтузиаст,33753
нный,33610
га,33395
либо,33048
постановление,32722
внесение,32594
образ,32569
том,32542
какой,31834
доработка,31820
протокол,31797
устанавливать,31452
карта,31441
центр,31226
порядок,31178
считать,31006
помещение,30844
разреш,30812
проездом,30602
мой,30509
учёт,30282
каждый,29966
спортивный,29900
качество,29879
решение,29699
положение,29670
статья,29454
социальный,29143
любой,29121
мочь,29098
власть,28331
среда,28263
охранять,28002
зонирование,27989
охранный,27544
сооружение,27538
многоквартирный,27441
провести,27438
недвижимость,27347
сохранение,27196
связь,26954
иметь,26441
деятельность,26335
площадка,26333
находиться,26221
сведение,26163
планировать,25881
выдать,25675
гараж,25471
озеленение,25337
менее,25322
этаж,25172
тысяча,25070
время,25021
парк,24960
норма,24936
производственный,24835
отвести,24622
золоторожский,24350
предусмотренный,24291
предусмотреть,24007
свой,23672
n,23566
бульвар,23336
инфраструктура,23234
реконструкция,23171
сквер,23082
цель,22994
ребёнок,22947
природоохранный,22871
раздел,22851
три,22831
вал,22818
иной,22778
материал,22712
вопрос,22414
включить,22211
отсутствовать,21912
перечень,21790
организация,21758
кроме,21713
завод,21660
кадастр,21636
интерес,21628
весь,21597
незаконный,21472
учреждение,21281
исключение,21260
случай,21163
максимальный,21146
отправить,21125
субъект,20996
земля,20460
основание,20457
многоэтажный,20453
область,20417
памятник,20220
нарушать,20127
пользование,20095
местный,20026
основный,19941
пп,19921
озеленить,19806
окружающий,19702
действующий,19693
предлагать,19672
информация,19332
возможность,19302
схема,19301
обеспечить,19286
соответствовать,19170
подземный,19091
проезд,18968
составлять,18936
отдых,18846
выделить,18720
кольцо,18695
изменить,18685
санитарный,18659
новый,18537
содержимый,18523
подлежать,18449
образование,18443
действие,18406
имущество,18240
оопт,18213
строение,18205
приказ,18158
образовательный,18112
населить,18086
другой,18085
сад,18015
тот,17913
построить,17894
указать,17770
показатель,17695
прилегать,17666
основной,17641
фактический,17595
соответственно,17585
спортивно,17565
ландшафт,17532
собственник,17487
рекреационный,17476
строительный,17363
зелёный,17351
восточный,17302
живописный,17267
предел,17265
отдельный,17261
земеля,17197
день,17184
отменить,17184
принятие,17019
реализация,17000
учесть,16913
значение,16882
предполагаться,16877
частность,16867
нужда,16858
статус,16805
самоуправление,16799
единый,16758
вместо,16728
акт,16621
рамка,16538
возражать,16538
обслуживание,16211
экологический,15949
поддерживать,15752
исключить,15749
собрание,15710
придомовый,15700
разместить,15686
это,15658
ленинградский,15554
индекс,15455
планироваться,15431
допускать,15413
межевание,15380
себя,15256
направить,15232
связанный,15146
проектировать,15142
исполнительный,15120
период,15106
лицо,15087
вдоль,15035
настоящее,15025
культура,14987
корпус,14972
около,14972
транспорт,14831
проводиться,14773
дорога,14754
особо,14731
полномочие,14650
документация,14631
декабрь,14630
например,14550
дополнительный,14542
настоящий,14521
максимально,14364
условно,14338
незаконно,14329
полный,14325
пересадочный,14275
парковка,14223
противоречащий,14166
нарушить,14147
застроенность,14141
проспект,14070
размер,14066
принять,14054
работа,14053
близость,13954
вышеуказанный,13951
защитный,13915
минимальный,13903
включая,13799
подъезд,13768
многочисленный,13747
исключать,13696
выделение,13677
торговый,13664
информационный,13648
жилищный,13611
выше,13582
кладбище,13545
комиссия,13540
относиться,13528
занятой,13487
история,13463
московский,13361
высотность,13292
разработка,13236
деловой,13132
этот,13081
городской,13069
определить,13008
недопустимый,12900
гостиница,12821
жизнь,12816
допустить,12795
ряд,12772
исключительно,12757
мост,12750
специализировать,12746
разрешение,12737
автотранспорт,12671
муниципальный,12657
поскольку,12642
произвольно,12623
россия,12556
переулок,12446
ранее,12390
причина,12293
целое,12267
комплексный,12265
узел,12244
стена,12219
измайлово,12218
непосредственный,12189
расстояние,12188
минэкономразвития,12175
лефортово,12152
подготовка,12148
именно,12121
стать,12083
прошедшее,12043
код,12015
насаждение,11991
адресный,11950
предполагать,11880
отсутствие,11835
обеспечение,11817
правовой,11785
программа,11776
привести,11634
подзона,11610
солдатский,11602
включать,11595
сила,11558
принцип,11541
школа,11498
никакой,11428
отмостка,11365
октябрь,11319
реестр,11311
выступать,11266
габарит,11261
квартира,11229
миллион,11089
результат,10995
редакция,10878
быть,10862
нормативный,10796
экономический,10785
учитывать,10783
применение,10725
микрорайон,10691
клуб,10617
автостоянка,10597
ограничение,10554
сохранность,10533
герой,10527
использовать,10434
утверждать,10426
норматив,10410
высокий,10402
сторона,10395
группа,10348
срок,10347
мера,10242
вернуть,10221
создать,10164
входить,10111
сохранять,10067
полоса,10066
условие,10059
представлять,10005
два,9986
предусматривать,9968
недвижимый,9941
региональный,9923
несмотря,9905
переработать,9868
полностью,9843
следовать,9799
определять,9771
изъятие,9741
приложение,9735
уплотнительный,9729
близлежащий,9678
снос,9670
отклонение,9660
остановка,9655
население,9648
панфиловец,9633
бытовой,9560
большой,9518
квадратный,9449
окно,9425
дореволюционный,9412
народный,9395
паркинг,9374
глава,9316
включение,9277
ведение,9267
этажный,9243
характеристика,9223
эксплуатация,9144
коммерческий,9107
элемент,9063
наземный,9052
окружный,9050
характер,9021
градостроительство,9015
регенерация,9001
движение,8970
содержание,8965
режим,8942
прямо,8940
определяться,8918
санпин,8916
назвать,8896
нижеподписавшийся,8884
установление,8869
непосредственно,8833
технический,8805
момент,8798
общественно,8795
пешеходный,8760
наружное,8741
огромный,8724
лишь,8683
иметься,8650
поселение,8641
внутри,8608
ситуация,8593
выдавать,8592
определение,8579
означать,8572
проектный,8562
конституционный,8472
вариант,8444
автомобильный,8390
немой,8344
мкд,8335
однако,8326
пятницкий,8315
содержаться,8299
предназначить,8289
объём,8286
письменный,8166
неиспользуемый,8155
